m , ef_construction, ef_search, recall            , latency_ms          , build_time_s       , memory_bytes, score
26,             478,       223, 0.99995           , 0.05381627999986449 , 3.4788553270000193 ,     13330392, 0.9998961837200001
40,             120,        55, 0.9987500000000005, 0.022780420999879425, 0.6753347710000526 ,     15347408, 0.9987272195790006
 7,             440,       184, 0.9991000000000004, 0.03394825850000416 , 2.042201754999951  ,     10612096, 0.9990660517415004
47,              59,       292, 0.9993500000000004, 0.051802362499984156, 0.41694219700002577,     16357728, 0.9992981976375004
54,             145,        62, 0.9993500000000002, 0.02652274649994979 , 0.9092170069998247 ,     17362376, 0.9993234772535002
15,             187,       162, 0.9999000000000001, 0.035213121000197134, 1.0290448050000123 ,     11749920, 0.9998647868789999
30,             181,       188, 0.99995           , 0.04202356049995615 , 1.0477728169998954 ,     13907176, 0.9999079764395
12,             181,       116, 0.9992500000000002, 0.028402799500099718, 0.9783622260001721 ,     11320808, 0.9992215972005001
31,             404,        68, 0.9993500000000002, 0.02766193449997445 , 2.5819860009996773 ,     14051040, 0.9993223380655002
35,             317,        23, 0.9699000000000063, 0.015839988999914567, 1.8511457230001724 ,     14626176, 0.9698841600110064
61,             263,       245, 1.0               , 0.056536158499966405, 1.4499767329998576 ,     18369440, 0.9999434638415
60,             283,       253, 1.0               , 0.06255724549987463 , 1.637087579999843  ,     18225592, 0.9999374427545001
63,             277,       271, 1.0               , 0.05948258950002128 , 1.6757167390001086 ,     18654688, 0.9999405174104999
64,             359,       288, 1.0               , 0.0616484390000096  , 2.2597456990001774 ,     18798356, 0.999938351561
52,             245,       243, 1.0               , 0.050903908000009324, 1.370240486000057  ,     17074776, 0.999949096092
51,             242,       226, 1.0               , 0.04990318299996943 , 1.4654569640001682 ,     16931088, 0.999950096817
50,             227,       215, 1.0               , 0.0687891684999613  , 1.2220292270003483 ,     16787940, 0.9999312108315
41,             324,       130, 0.9999000000000001, 0.03690400799996496 , 1.801205463000315  ,     15492096, 0.9998630959920002
53,             236,       212, 1.0               , 0.0474394459999985  , 1.5079188690001502 ,     17218608, 0.999952560554
45,              85,       202, 1.0               , 0.04224729149996165 , 0.5181590610000057 ,     16069288, 0.9999577527085001
45,              51,       129, 0.9994000000000003, 0.042183733000001666, 0.4753113189999567 ,     16069288, 0.9993578162670003
56,              96,       199, 0.99975           , 0.050133220499901654, 0.6282171349998862 ,     17649720, 0.9996998667795002
44,             217,       161, 1.0               , 0.04043348150003112 , 1.2516290870003104 ,     15925056, 0.9999595665184999
40,             208,       160, 1.0               , 0.0544587969998247  , 1.2981022509998184 ,     15347408, 0.9999455412030002
45,             145,       103, 0.9999000000000001, 0.031192886999861   , 0.8073110979999001 ,     16069288, 0.9998688071130003
23,              92,       174, 0.99995           , 0.038380348500140826, 0.5644460499997876 ,     12900384, 0.9999116196514999
39,             312,       206, 1.0               , 0.05189930949995869 , 1.7778090789997805 ,     15203456, 0.9999481006905
56,             143,       153, 1.0               , 0.03828471999986505 , 0.8640086989998963 ,     17649720, 0.9999617152800001
57,             143,       143, 1.0               , 0.05027141849996042 , 0.9116301290000592 ,     17793992, 0.9999497285815
24,              95,       102, 0.9998000000000001, 0.030124180500024522, 0.5917815439997867 ,     13044096, 0.9997698758195
35,             125,       147, 0.99995           , 0.040131883999947604, 0.8798090039999806 ,     14626176, 0.999909868116
48,             169,       231, 1.0               , 0.04881371100009346 , 0.9304258370002572 ,     16501356, 0.9999511862889999
57,             220,       171, 1.0               , 0.04573720600001252 , 1.2502501149997443 ,     17793992, 0.999954262794
58,             214,       174, 1.0               , 0.04601239900011933 , 1.2711619579999933 ,     17938460, 0.9999539876009998
43,             485,       188, 1.0               , 0.04744780850001007 , 3.0751366859999507 ,     15780752, 0.9999525521915
48,              70,        84, 0.9994500000000001, 0.032601895499965394, 0.5133374270003515 ,     16501356, 0.9994173981045001
55,             120,       166, 1.0               , 0.039124352500039095, 0.7408037629998034 ,     17506528, 0.9999608756474999
45,             123,       140, 0.99995           , 0.04979736900008902 , 0.705000852000012  ,     16069288, 0.9999002026309999
37,             153,       156, 0.99995           , 0.04310701650001647 , 1.0759426800000256 ,     14914480, 0.9999068929835
54,              82,       191, 0.99975           , 0.041317006000099354, 0.5155390929999157 ,     17362376, 0.999708682994
31,             116,       124, 0.9998500000000001, 0.03249015050005255 , 0.6628523389999827 ,     14051040, 0.9998175098495001
59,             210,       169, 1.0               , 0.041320955000173853, 1.269114823000109  ,     18082656, 0.9999586790449998
60,             184,       174, 1.0               , 0.04290434549989186 , 1.0121641880000425 ,     18225592, 0.9999570956545001
50,             200,       151, 1.0               , 0.04187002749995372 , 1.2873143389997495 ,     16788144, 0.9999581299725
55,             194,       112, 0.9999000000000001, 0.0334390230000281  , 1.0915950660000817 ,     17506528, 0.9998665609770001
50,             262,       155, 1.0               , 0.04016808450001008 , 1.5653879530000268 ,     16787940, 0.9999598319155
61,             262,       137, 0.99995           , 0.04988657550006792 , 1.4995666110003185 ,     18369440, 0.9999001134244999
64,             295,        82, 0.99975           , 0.029312934000017776, 1.7951772450001044 ,     18798356, 0.999720687066
59,             167,        30, 0.9871500000000036, 0.018093393500066668, 1.013928525999745  ,     18082656, 0.9871319066065035
52,             451,       162, 1.0               , 0.05395768249991306 , 2.8482628810002097 ,     17074776, 0.9999460423175001
49,             340,       179, 1.0               , 0.0454671934999169  , 2.0299790059998486 ,     16645296, 0.9999545328065
50,             257,       148, 1.0               , 0.042745042999968064, 1.4527850649997163 ,     16787940, 0.999957254957
 6,             196,       164, 0.9970500000000012, 0.031078924499979618, 1.0168162649997612 ,     10471528, 0.9970189210755013
54,             168,       153, 1.0               , 0.04815770749996773 , 0.9793822020001244 ,     17362376, 0.9999518422925
62,             206,       187, 1.0               , 0.044159177499977886, 1.213448230999802  ,     18512232, 0.9999558408225
