trial_number,m,ef_construction,ef_search,recall,latency_ms,build_time_s,memory_bytes
0,26,478,223,0.99995,0.11146177049977268,7.387406080000801,13330392
1,40,120,55,0.9988000000000004,0.052989118499681354,1.5150337499999296,15347408
2,7,440,184,0.9991000000000004,0.07246064850005496,4.696058755999729,10612096
3,47,59,292,0.9992500000000004,0.19560784350005633,1.0253579489999538,16357728
4,54,145,62,0.9993500000000002,0.0785923505000028,1.982869978999588,17362376
5,15,187,162,0.9999000000000001,0.0851327680002214,2.30407932900016,11749920
6,30,181,188,0.99995,0.14900694049993035,2.5752558290005254,13907176
7,12,181,116,0.9992000000000003,0.0636622020001596,2.258618946999377,11320808
8,31,404,68,0.9993500000000002,0.06983133650010132,5.588989906000279,14051040
9,35,317,23,0.9696500000000067,0.0470128214997203,4.949590328999875,14626176
10,5,263,112,0.9776000000000062,0.06381915900010426,3.0069001830006528,10334376
11,44,56,102,0.9988500000000003,0.08579547700037438,1.0130646829993566,15924876
12,62,98,19,0.9519000000000081,0.0359148644997731,1.7675093239995476,18512232
13,42,242,113,0.9999000000000001,0.09181138849999115,3.6781199030001517,15636548
14,20,131,67,0.9978000000000005,0.07720476799977405,1.830056691000209,12467088
15,37,323,258,0.99995,0.11458839150009226,4.084132756000145,14914480
16,53,218,136,0.99995,0.09059854149973035,2.965571337000256,17218608
17,23,126,47,0.9965500000000013,0.06427957300002163,1.6402787450006144,12900384
18,63,188,88,0.99985,0.07696307200012598,2.4475473090005835,18654688
19,13,315,10,0.763950000000001,0.016013373999612668,3.655848528000206,11463288
20,51,94,154,0.99925,0.11868272199990315,1.490452656999878,16931088
21,39,274,100,0.9999000000000001,0.07219289949989616,3.6200474109991774,15203456
22,4,167,123,0.9512000000000085,0.06957005450021825,1.5668545130001803,10203356
23,10,158,44,0.9745000000000065,0.032440880500416824,1.9982373190005092,11034384
24,4,368,141,0.9572000000000062,0.09736058250018687,3.294702252999741,10203356
25,17,63,38,0.9856000000000037,0.03427595299990571,1.0466423239995493,12035616
26,17,53,82,0.9936500000000008,0.06936399000005622,0.8608661609996489,12035616
27,20,51,33,0.9564500000000045,0.034394181499919796,0.9419664389997706,12467088
28,18,91,83,0.9988000000000002,0.06594782950014633,1.2197448409997378,12179012
29,29,82,228,0.99995,0.0955186070000309,1.3839377630001763,13762896
30,26,475,39,0.9936500000000025,0.07269472200005112,6.4986199490003855,13330392
31,9,150,37,0.952150000000008,0.02817722899999353,1.7573320430001331,10891576
32,16,114,79,0.9990000000000004,0.053086967499893944,1.5663358350002454,11892212
33,9,499,30,0.9250000000000074,0.027918016000057833,6.315282845000183,10891576
34,25,75,54,0.9973500000000006,0.06827877849991637,1.2697362519993476,13186152
35,21,157,280,1.0,0.11010321149979063,2.065256816999863,12611432
36,8,218,14,0.7525499999999996,0.025328455999897415,2.5727431220002472,10751424
37,15,121,205,0.9999000000000001,0.10883670449993588,1.6913506909995704,11749920
38,17,74,66,0.9965500000000008,0.05428056049959196,1.1050055790001352,12035616
39,12,152,235,0.9998500000000001,0.11001264799961064,1.9252794960002575,11320808
