pareto_rank,trial_number,m,ef_construction,ef_search,recall,latency_ms,build_time_s,memory_bytes,aggregate_score
1,32,16,114,79,0.9990000000000004,0.053086967499893944,1.5663358350002454,11892212,0.8827905447542801
2,5,15,187,162,0.9999000000000001,0.0851327680002214,2.30407932900016,11749920,0.8758470610699342
3,29,29,82,228,0.99995,0.0955186070000309,1.3839377630001763,13762896,0.8657410655593959
4,7,12,181,116,0.9992000000000003,0.0636622020001596,2.258618946999377,11320808,0.8651429805862827
5,37,15,121,205,0.9999000000000001,0.10883670449993588,1.6913506909995704,11749920,0.853734677874531
6,28,18,91,83,0.9988000000000002,0.06594782950014633,1.2197448409997378,12179012,0.8519279851360222
7,39,12,152,235,0.9998500000000001,0.11001264799961064,1.9252794960002575,11320808,0.8456504175783511
8,35,21,157,280,1.0,0.11010321149979063,2.065256816999863,12611432,0.8368145376703311
9,1,40,120,55,0.9988000000000004,0.052989118499681354,1.5150337499999296,15347408,0.8258803724465783
10,21,39,274,100,0.9999000000000001,0.07219289949989616,3.6200474109991774,15203456,0.8138399385010681
11,18,63,188,88,0.99985,0.07696307200012598,2.4475473090005835,18654688,0.7958268704887714
12,4,54,145,62,0.9993500000000002,0.0785923505000028,1.982869978999588,17362376,0.7844110552526116
13,16,53,218,136,0.99995,0.09059854149973035,2.965571337000256,17218608,0.7812205167031758
14,11,44,56,102,0.9988500000000003,0.08579547700037438,1.0130646829993566,15924876,0.7810551526390282
15,2,7,440,184,0.9991000000000004,0.07246064850005496,4.696058755999729,10612096,0.77333000929892
16,8,31,404,68,0.9993500000000002,0.06983133650010132,5.588989906000279,14051040,0.7265365939244198
17,38,17,74,66,0.9965500000000008,0.05428056049959196,1.1050055790001352,12035616,0.7006375514405226
18,3,47,59,292,0.9992500000000004,0.19560784350005633,1.0253579489999538,16357728,0.614286317219401
19,26,17,53,82,0.9936500000000008,0.06936399000005622,0.8608661609996489,12035616,0.45359630372487
