pareto_rank,trial_number,m,ef_construction,ef_search,recall,latency_ms,build_time_s,memory_bytes,aggregate_score
1,5,15,187,162,0.9999000000000001,0.10466651292517781,0.6916686668992043,11746336,0.8802793685620627
2,10,16,263,125,0.9998000000000001,0.09895802941173315,0.9700220830272883,11889832,0.8512956123312793
3,19,13,250,157,0.9999000000000001,0.10939600178971887,0.9465671249199659,11458920,0.84528991035997
4,15,22,224,170,0.99995,0.11443742550909519,0.8740940829738975,12750388,0.8281875096695053
5,3,47,59,292,1.0,0.13904145453125238,0.29952537501230836,16345440,0.7958727887390437
6,7,12,181,116,0.9992500000000003,0.11131196515634656,1.0435076659778133,11316024,0.7891738341805501
7,16,12,371,224,0.99985,0.11933350469917059,1.3346314169466496,11316024,0.7788839886903323
8,1,40,120,55,0.9987000000000004,0.09135453728958964,0.6875016670674086,15337568,0.7775217921137723
9,4,54,145,62,0.9993000000000002,0.08662499021738768,0.9491378329694271,17352256,0.7681593569647545
10,8,31,404,68,0.9993500000000002,0.08143752347677946,1.560949167003855,14043104,0.7588045864083754
11,2,7,440,184,0.9990500000000005,0.09718752698972821,1.601967916940339,10605344,0.7507806721365757
12,11,19,311,243,0.99995,0.13697950635105371,1.424635916016996,12319696,0.7245571983253656
13,18,42,348,290,1.0,0.20300003234297037,1.3835590839153156,15625712,0.5497421255278526
14,14,5,360,167,0.9924500000000027,0.0908750225789845,0.887230291031301,10330464,0.41290632896834123
